Wed Jul  3 18:57:24 2024    profile.log

         15698096 function calls (15697873 primitive calls) in 111.642 seconds

   Ordered by: cumulative time per call

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       46    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\ipaddress.py:1755(_parse_hextet)
     1305    0.002    0.000    0.003    0.000 C:\Users\Valentina\risc-v\utils\decoder.py:18(decode_U_type)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\zipfile\__init__.py:779(_SharedFile)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\pathlib.py:1413(PosixPath)
        1    0.000    0.000    0.000    0.000 <frozen codecs>:260(__init__)
       55    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\ipaddress.py:156(_split_optional_netmask)
        2    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\ctypes\__init__.py:373(_FuncPtr)
    34845    0.071    0.000    0.071    0.000 C:\Users\Valentina\risc-v\utils\decoder.py:73(get_subtype__funct7)
       23    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       26    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\urllib\parse.py:190(_NetlocResultMixinStr)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\ipaddress.py:2225(IPv6Network)
        1    0.000    0.000    0.000    0.000 C:\Users\Valentina\risc-v\devices\memory\ram.py:1(RAM_DICT)
        1    0.000    0.000    0.000    0.000 C:\Users\Valentina\risc-v\utils\logger.py:1(Logger)
       18    0.000    0.000    0.000    0.000 {built-in method nt.getcwd}
       38    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\zipfile\__init__.py:2065(PyZipFile)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\pathlib.py:151(_Selector)
        1    0.000    0.000    0.000    0.000 C:\Users\Valentina\risc-v\devices\cpu\instructions.py:44(JALR)
        1    0.000    0.000    0.000    0.000 C:\Users\Valentina\risc-v\devices\cpu\instructions.py:453(ANY_ATOMIC)
        7    0.000    0.000    0.000    0.000 {built-in method _struct.pack}
   237780    0.358    0.000    0.436    0.000 C:\Users\Valentina\risc-v\devices\memory\ram.py:17(write)
        2    0.000    0.000    0.000    0.000 {function _ZipWriteFile.close at 0x000001F1A303C2C0}
    55763    0.100    0.000    0.100    0.000 C:\Users\Valentina\risc-v\utils\decoder.py:121(get_hardcoded_number__immediate_b)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1339(_find_parent_path_names)
       38    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
       27    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       23    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\pathlib.py:263(_PathParents)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\zipfile\_path\__init__.py:68(InitializedState)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\urllib\parse.py:220(_NetlocResultMixinBytes)
        1    0.000    0.000    0.000    0.000 C:\Users\Valentina\risc-v\devices\cpu\instructions.py:319(LUI)
       78    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
       28    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
        2    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\zipfile\__init__.py:655(LZMACompressor)
        1    0.000    0.000    0.000    0.000 C:\Users\Valentina\risc-v\devices\cpu\instructions.py:27(JAL)
        1    0.000    0.000    0.000    0.000 C:\Users\Valentina\risc-v\devices\cpu\instructions.py:306(AUIPC)
        1    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
       37    0.000    0.000    0.000    0.000 {built-in method nt._path_splitroot}
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\urllib\parse.py:834(_Quoter)
        1    0.000    0.000    0.000    0.000 C:\Users\Valentina\risc-v\devices\cpu\instructions.py:395(STORE)
        1    0.000    0.000    0.000    0.000 C:\Users\Valentina\risc-v\devices\uart.py:1(UART)
       38    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
    10474    0.016    0.000    0.016    0.000 C:\Users\Valentina\risc-v\utils\decoder.py:104(get_hardcoded_number__immediate_j)
        6    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\enum.py:1544(_get_value)
      413    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\re\_parser.py:953(fix_flags)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\zipfile\_path\__init__.py:151(FastLookup)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\pathlib.py:223(_RecursiveWildcardSelector)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\ctypes\__init__.py:157(py_object)
        1    0.000    0.000    0.000    0.000 C:\Users\Valentina\risc-v\devices\memory\ram.py:12(RAM_BYTEARRAY)
        7    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
  2131080    2.061    0.000    2.851    0.000 C:\Users\Valentina\risc-v\devices\memory\address_bus.py:5(read_single)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\pathlib.py:180(_ParentSelector)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\pathlib.py:801(PurePosixPath)
        1    0.000    0.000    0.000    0.000 C:\Users\Valentina\risc-v\devices\cpu\instructions.py:201(ANY_INTGR)
       34    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\ipaddress.py:1885(_split_scope_id)
       36    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\pathlib.py:241(_DoubleRecursiveWildcardSelector)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\urllib\parse.py:136(_ResultMixinStr)
        1    0.000    0.000    0.000    0.000 C:\Users\Valentina\risc-v\devices\cpu\instructions.py:60(EBREAK_ECALL_CSR)
        1    0.000    0.000    0.000    0.000 C:\Users\Valentina\risc-v\devices\cpu\instructions.py:331(BRANCH)
        1    0.000    0.000    0.000    0.000 C:\Users\Valentina\risc-v\devices\cpu\instructions.py:417(LOAD)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\ctypes\__init__.py:402(PyDLL)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\ctypes\__init__.py:420(HRESULT)
        1    0.000    0.000    0.000    0.000 C:\Users\Valentina\risc-v\config_linux.py:57(pre_cpu_start)
       10    0.000    0.000    0.000    0.000 C:\Users\Valentina\risc-v\devices\cpu\instructions.py:127(__call__)
        1    0.000    0.000    0.000    0.000 C:\Users\Valentina\risc-v\utils\logger.py:2(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\Valentina\risc-v\devices\cpu\instructions.py:130(ANY_INTGR_I)
        1    0.000    0.000    0.000    0.000 C:\Users\Valentina\risc-v\devices\uart.py:2(__init__)
       32    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
    10474    0.011    0.000    0.011    0.000 C:\Users\Valentina\risc-v\utils\conversions.py:15(interpret_as_21_bit_signed_value)
        4    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\functools.py:965(__init__)
       40    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
       11    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\re\_parser.py:168(__getitem__)
        2    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\re\_parser.py:176(append)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\zipfile\__init__.py:819(_Tellable)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\pathlib.py:174(_TerminatingSelector)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\pathlib.py:191(_WildcardSelector)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\urllib\parse.py:323(DefragResult)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\pathlib.py:1425(WindowsPath)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\ctypes\_endian.py:48(BigEndianStructure)
        1    0.000    0.000    0.000    0.000 {built-in method sys.exc_info}
        6    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\re\_parser.py:261(get)
        2    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\enum.py:1129(__new__)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\pathlib.py:811(PureWindowsPath)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\ctypes\_endian.py:23(_swapped_meta)
        3    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
       23    0.000    0.000    0.000    0.000 {built-in method _struct.calcsize}
        2    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       80    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\urllib\parse.py:144(_ResultMixinBytes)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\urllib\parse.py:331(SplitResult)
        2    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\ctypes\__init__.py:102(CFunctionType)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\ctypes\__init__.py:241(c_char_p)
        1    0.000    0.000    0.000    0.000 <frozen codecs>:186(__init__)
        1    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
       25    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\ipaddress.py:431(_ip_int_from_prefix)
        5    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\re\_parser.py:293(tell)
      156    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
        2    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\re\_compiler.py:570(isstring)
        2    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\zipfile\__init__.py:745(_get_compressor)
        3    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\zipfile\__init__.py:726(_check_compression)
        4    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\re\_parser.py:83(groups)
       10    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\zipfile\__init__.py:1193(_fileobj)
     1305    0.001    0.000    0.001    0.000 C:\Users\Valentina\risc-v\utils\conversions.py:9(interpret_as_20_bit_signed_value)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\re\_parser.py:77(__init__)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\ipaddress.py:20(AddressValueError)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\ipaddress.py:1131(_BaseConstants)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\ctypes\__init__.py:257(c_wchar_p)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1276(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method _imp.get_frozen_object}
       40    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       38    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
   111651    0.076    0.000    0.076    0.000 C:\Users\Valentina\risc-v\utils\conversions.py:3(interpret_as_32_bit_signed_value)
       56    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        3    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\ctypes\__init__.py:510(CFunctionType)
        5    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\re\_parser.py:164(__len__)
       87    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
      135    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
        4    0.000    0.000    0.000    0.000 {built-in method sys._getframemodulename}
       88    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
       26    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
    59705    0.036    0.000    0.036    0.000 C:\Users\Valentina\risc-v\utils\decoder.py:138(get_hardcoded_number__immediate_s)
        8    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\re\_parser.py:256(match)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\zipfile\__init__.py:678(LZMADecompressor)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\zipfile\__init__.py:43(LargeZipFile)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\urllib\parse.py:336(ParseResult)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\ctypes\__init__.py:411(WinDLL)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\ctypes\__init__.py:433(OleDLL)
        1    0.000    0.000    0.000    0.000 C:\Users\Valentina\risc-v\devices\memory\address_bus.py:2(__init__)
        3    0.000    0.000    0.000    0.000 {method 'clear' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
       38    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
        9    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\re\_parser.py:240(__next)
       11    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      135    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
    59720    0.034    0.000    0.034    0.000 {method 'to_bytes' of 'int' objects}
     2820    0.002    0.000    0.002    0.000 C:\Users\Valentina\risc-v\utils\conversions.py:36(sign_extend_12_bit_value)
       46    0.000    0.000    0.000    0.000 {method 'issuperset' of 'frozenset' objects}
       38    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
       25    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\ipaddress.py:415(_check_int_address)
        4    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\functools.py:970(__set_name__)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\zipfile\__init__.py:39(BadZipFile)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\shutil.py:73(SpecialFileError)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\shutil.py:83(RegistryError)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\urllib\parse.py:342(DefragResultBytes)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\urllib\parse.py:350(SplitResultBytes)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\ipaddress.py:24(NetmaskValueError)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\urllib\parse.py:355(ParseResultBytes)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\ctypes\__init__.py:166(c_short)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\ctypes\__init__.py:195(c_float)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\ctypes\__init__.py:231(c_byte)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\ctypes\_endian.py:55(BigEndianUnion)
        6    0.000    0.000    0.000    0.000 {built-in method builtins.min}
       20    0.000    0.000    0.000    0.000 {built-in method sys.intern}
       20    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
  1002481    0.208    0.000    0.450    0.000 C:\Users\Valentina\risc-v\utils\logger.py:6(log)
      104    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       71    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
       53    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
   322316    0.138    0.000    0.138    0.000 C:\Users\Valentina\risc-v\utils\decoder.py:62(get_subtype__funct3)
   218626    0.094    0.000    0.094    0.000 C:\Users\Valentina\risc-v\devices\cpu\__init__.py:107(int_write)
    55763    0.024    0.000    0.024    0.000 C:\Users\Valentina\risc-v\utils\conversions.py:21(interpret_as_13_bit_signed_value)
      212    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
       20    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
        3    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\re\_compiler.py:31(_combine_flags)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\re\_parser.py:172(__setitem__)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\shutil.py:67(Error)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\shutil.py:70(SameFileError)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\ctypes\__init__.py:170(c_ushort)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\ctypes\__init__.py:174(c_long)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\ctypes\__init__.py:178(c_ulong)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\ctypes\__init__.py:199(c_double)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\ctypes\__init__.py:203(c_longdouble)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\ctypes\__init__.py:224(c_ubyte)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\ctypes\__init__.py:236(c_char)
        4    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\ctypes\__init__.py:443(__init__)
      471    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
       26    0.000    0.000    0.000    0.000 C:\Users\Valentina\risc-v\utils\decoder.py:68(get_subtype__funct5)
  2131081    0.826    0.000    0.826    0.000 C:\Users\Valentina\risc-v\devices\memory\ram.py:22(read)
      330    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
       51    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
     1305    0.000    0.000    0.000    0.000 C:\Users\Valentina\risc-v\utils\decoder.py:99(get_hardcoded_number__immediate_u)
       20    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\collections\__init__.py:429(<genexpr>)
      957    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        3    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\re\_parser.py:113(__init__)
   115382    0.042    0.000    0.042    0.000 C:\Users\Valentina\risc-v\utils\conversions.py:27(interpret_as_12_bit_signed_value)
       77    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
      498    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
        2    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
       76    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
    12539    0.004    0.000    0.004    0.000 {method 'split' of 'str' objects}
   171977    0.057    0.000    0.057    0.000 C:\Users\Valentina\risc-v\utils\decoder.py:94(get_hardcoded_number__immediate_i)
       62    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
       92    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
   714571    0.230    0.000    0.231    0.000 {built-in method from_bytes}
   218627    0.070    0.000    0.070    0.000 C:\Users\Valentina\risc-v\utils\decoder.py:88(get_destination_register__rd)
      413    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
     1403    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
      113    0.000    0.000    0.000    0.000 {method 'isascii' of 'str' objects}
      113    0.000    0.000    0.000    0.000 {method 'isdigit' of 'str' objects}
        3    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\re\_compiler.py:428(_get_iscased)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\shutil.py:77(ExecError)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\shutil.py:80(ReadError)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\shutil.py:87(_GiveupOnFastCopy)
        1    0.000    0.000    0.000    0.000 C:\Users\Valentina\risc-v\devices\uart.py:10(write)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\ctypes\__init__.py:213(c_longlong)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\ctypes\__init__.py:217(c_ulonglong)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\ctypes\__init__.py:247(c_void_p)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\ctypes\__init__.py:252(c_bool)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\ctypes\__init__.py:262(c_wchar)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\ctypes\_endian.py:34(_swapped_struct_meta)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1408(exec_module)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
        3    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
       26    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1153(__init__)
     1282    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
       36    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(__init__)
   150339    0.040    0.000    0.040    0.000 C:\Users\Valentina\risc-v\utils\decoder.py:83(get_source_register__rs2)
   322316    0.084    0.000    0.084    0.000 C:\Users\Valentina\risc-v\utils\decoder.py:78(get_source_register__rs1)
      110    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\ipaddress.py:574(__int__)
  2144086    0.538    0.000    0.538    0.000 {method 'append' of 'list' objects}
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1014(is_package)
       38    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
       38    0.000    0.000    0.000    0.000 {built-in method _ctypes.sizeof}
   472648    0.109    0.000    0.109    0.000 C:\Users\Valentina\risc-v\devices\cpu\__init__.py:104(int_read)
       64    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1573(<genexpr>)
      209    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
       26    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1178(get_filename)
      209    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
       10    0.000    0.000    0.000    0.000 C:\Users\Valentina\risc-v\devices\cpu\instructions.py:124(valid)
       26    0.000    0.000    0.000    0.000 C:\Users\Valentina\risc-v\devices\cpu\instructions.py:457(valid)
    55763    0.012    0.000    0.012    0.000 C:\Users\Valentina\risc-v\devices\cpu\instructions.py:335(valid)
883343/883340    0.185    0.000    0.185    0.000 {built-in method builtins.len}
       35    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:653(has_location)
       26    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:986(create_module)
    10474    0.002    0.000    0.002    0.000 C:\Users\Valentina\risc-v\devices\cpu\instructions.py:31(valid)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\zipfile\__init__.py:1388(__enter__)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\ctypes\_endian.py:35(_swapped_union_meta)
     1222    0.000    0.000    0.000    0.000 C:\Users\Valentina\risc-v\devices\cpu\instructions.py:323(valid)
     9431    0.002    0.000    0.002    0.000 C:\Users\Valentina\risc-v\devices\cpu\instructions.py:48(valid)
    34845    0.007    0.000    0.007    0.000 C:\Users\Valentina\risc-v\devices\cpu\instructions.py:205(valid)
    46246    0.008    0.000    0.008    0.000 C:\Users\Valentina\risc-v\devices\cpu\instructions.py:421(valid)
   116248    0.021    0.000    0.021    0.000 C:\Users\Valentina\risc-v\devices\cpu\instructions.py:134(valid)
       52    0.000    0.000    0.000    0.000 C:\Users\Valentina\risc-v\devices\cpu\instructions.py:64(valid)
       83    0.000    0.000    0.000    0.000 C:\Users\Valentina\risc-v\devices\cpu\instructions.py:310(valid)
    59705    0.010    0.000    0.010    0.000 C:\Users\Valentina\risc-v\devices\cpu\instructions.py:399(valid)
       23    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\site-packages\_distutils_hack\__init__.py:89(<lambda>)
    12422    0.002    0.000    0.002    0.000 C:\Users\Valentina\risc-v\config_linux.py:20(<lambda>)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\urllib\__init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\Valentina\risc-v\devices\__init__.py:1(<module>)


