Wed Jul  3 18:57:24 2024    profile.log

         15698096 function calls (15697873 primitive calls) in 111.642 seconds

   Ordered by: cumulative time per call

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      2/1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\re\_parser.py:452(_parse_sub)
       26    0.004    0.000    0.004    0.000 {built-in method marshal.loads}
       28    0.004    0.000    0.004    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\struct.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\re\_compiler.py:573(_code)
        2    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\zipfile\__init__.py:1219(close)
        4    0.000    0.000    0.000    0.000 {built-in method builtins.eval}
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\zipfile\__init__.py:2058(_fpclose)
        1    0.000    0.000    0.000    0.000 C:\Users\Valentina\risc-v\devices\cpu\instructions.py:120(FENCE)
      2/1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\re\_parser.py:512(_parse)
        1    0.000    0.000    0.000    0.000 {method 'close' of '_io.BufferedRandom' objects}
        1    0.000    0.000    0.000    0.000 C:\Users\Valentina\risc-v\devices\memory\address_bus.py:1(<module>)
        8    0.000    0.000    0.001    0.000 <frozen zipimport>:64(__init__)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\zipfile\__init__.py:1964(_write_end_record)
        2    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\zipfile\__init__.py:1570(open)
        1    0.000    0.000    0.000    0.000 C:\Users\Valentina\risc-v\devices\cpu\__init__.py:61(get_registers_formatted)
        1    0.000    0.000    0.000    0.000 {built-in method nt._path_exists}
        8    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1644(_fill_cache)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\_compression.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\ctypes\__init__.py:265(_reset_cache)
      3/1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\re\_compiler.py:37(_compile)
        8    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1685(path_hook_for_FileFinder)
       26    0.002    0.000    0.002    0.000 {built-in method _io.open_code}
        3    0.000    0.000    0.000    0.000 {built-in method nt._path_isfile}
        9    0.000    0.000    0.000    0.000 {built-in method nt.listdir}
      123    0.002    0.000    0.006    0.000 {built-in method builtins.__build_class__}
       53    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
        1    0.000    0.000    0.000    0.000 C:\Users\Valentina\risc-v\utils\decoder.py:1(<module>)
      177    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
        2    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\zipfile\__init__.py:1672(_open_to_write)
       63    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      177    0.008    0.000    0.008    0.000 {built-in method nt.stat}
       26    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
        1    0.000    0.000    0.000    0.000 C:\Users\Valentina\risc-v\devices\memory\ram.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\ipaddress.py:1280(IPv4Address)
